Model,MAE,RMSE,R2,MedianAE,P90_AE,within_5min_pct,within_10min_pct,late_gt5_pct,early_gt5_pct,mean_bias
Linear Regression,4.755244242281035,5.975235751435039,0.6034461704103278,4.008163698362733,9.664861956770045,59.90895617192462,91.03324158373914,19.468558119839084,20.62248570823629,-0.018240596091792727
Random Forest,3.1859496070718545,3.9661171038572514,0.8252878434045572,2.766822353544204,6.3621347783530915,80.31971204742749,98.93076434469617,9.898369680287953,9.781918272284566,-0.07455255889722016
XGBoost (v1 params),3.1540754852521076,3.9315990729139245,0.8283157299238447,2.74489688873291,6.273889541625977,80.66906627143766,98.81431293669279,10.057167054838027,9.273766673724328,-0.036625814871997016
XGBoost (tuned),3.1276125952320637,3.891035613076929,0.831840088584963,2.7454776763916016,6.215873718261719,81.29366927800127,98.8037264450561,9.81367774719458,8.89265297480415,-0.03204359181372008
Weighted blend,3.120053225963691,3.876787169604616,0.8330693911592246,2.7446341505004597,6.173650899759863,81.54774507728139,98.87783188651281,9.601947914461148,8.850307008257463,-0.040545756149758985
Stacked blend,3.1188089258622607,3.8742325354186593,0.8332893187005003,2.7419476220694747,6.177610479310733,81.37836121109464,98.93076434469617,9.88778318865128,8.733855600254076,0.012820863224339374
