segment,value,n,split_cov_pct,split_width,cqr_cov_pct,cqr_width
traffic,High,870,76.66666666666667,9.71087646484375,77.816091954023,10.859145
traffic,Jam,2976,73.18548387096774,9.71087646484375,79.46908602150538,11.13612
traffic,Low,3159,87.81259892371004,9.71087646484375,81.60810383032604,8.859254
traffic,Medium,2314,79.73206568712186,9.71087646484375,81.41745894554884,10.526627
traffic,Missing,127,47.24409448818898,9.71087646484375,80.31496062992126,18.113213
distance_bucket,0-3 km,821,86.23629719853837,9.71087646484375,80.38976857490864,8.967232
distance_bucket,3-6 km,1529,84.63047743623284,9.71087646484375,80.44473512099411,9.572416
distance_bucket,6-10 km,2258,81.97519929140833,9.71087646484375,81.88662533215235,10.208555
distance_bucket,>10 km,4838,75.87846217445225,9.71087646484375,79.92972302604382,10.786417
