A,B,MAE_A,MAE_B,diff_A_minus_B,ci95_low,ci95_high,p_bootstrap,p_wilcoxon,A_better_share_pct,n_orders,day_ci_low,day_ci_high
Weighted blend,XGBoost (tuned),3.120053225963691,3.1276125952320637,-0.007559369268372777,-0.012143852671599934,-0.0027219228703318564,0.005,1.7525480509469646e-05,51.905568494600885,9446,-0.011797098456179525,-0.0037024415857637477
Weighted blend,Random Forest,3.120053225963691,3.1859496070718545,-0.06589638110816351,-0.08447850324011398,-0.04798601109724358,0.0005,1.2053784507281954e-07,52.07495236078763,9446,-0.07806107643456443,-0.05260634163510606
XGBoost (tuned),Random Forest,3.1276125952320637,3.1859496070718545,-0.058337011839790724,-0.08065712155233253,-0.036721093196530205,0.0005,0.00047322190417648885,51.32331145458395,9446,-0.07377649405453153,-0.041253893988648024
XGBoost (tuned),XGBoost (v1 params),3.1276125952320637,3.1540754852521076,-0.026462890020043775,-0.03684415872536699,-0.015400266177871838,0.0005,2.4108272610276073e-06,52.254922718611056,9446,-0.03583038701274865,-0.015916609188856557
