w_rf,val_MAE
0.0,3.0862571863304353
0.05,3.0832527059035306
0.1,3.0809335234128428
0.15,3.0792612854728967
0.2,3.07837727947629
0.25,3.078708911874183
0.3,3.079871159431788
0.35,3.081548776609581
0.4,3.0836440556200317
0.45,3.0860945202311996
0.5,3.089158165388373
0.55,3.0927656377642867
0.6,3.0969456313527517
0.65,3.1016340784435865
0.7,3.1066837993735357
0.75,3.112313188152266
0.8,3.1185025488746456
0.85,3.1252408394895435
0.9,3.132415271088123
0.95,3.140219781141024
1.0,3.1486068655692527
