fold,Model,MAE,RMSE,R2,MedianAE,P90_AE,within_5min_pct,within_10min_pct,late_gt5_pct,early_gt5_pct,mean_bias
0,Linear Regression,4.7645118797992145,5.97907119690132,0.5947279399477612,4.061956955483986,9.679306647612082,59.4164747175606,91.08259295820994,19.721399583196227,20.862125699243173,-0.05383742671673153
0,Random Forest,3.1387745079079212,3.9483851321367847,0.823266763812465,2.672946013185296,6.3138884428687945,81.25479872765165,98.57409235494133,9.22452561149501,9.52067566085335,-0.0979636057964908
0,XGBoost,3.3177033145398678,4.17432192112432,0.802461800366158,2.8148231506347656,6.654823303222655,77.77777777777779,98.08050893934409,7.985082812328617,14.237139409893606,-0.7233084112428659
1,Linear Regression,4.75937798933797,5.952529049579525,0.6004634816492169,4.054854329609551,9.750329707929628,59.515191400680045,90.91806515301086,20.31369968191291,20.17110891740704,0.07626655129641009
1,Random Forest,3.1271907597731983,3.9216489948997424,0.8265833177273025,2.6733827814073354,6.30518555750149,80.94768015794669,98.68377755840737,10.047164637490402,9.005155204562906,0.06727667860282033
1,XGBoost,3.188123678107187,3.985002969707254,0.8209349895282317,2.7271156311035156,6.4841789245605455,79.75211144016671,98.65087199736755,11.308544477350004,8.939344082483274,0.13808182497433538
2,Linear Regression,4.77816474938731,5.962167646904974,0.5960567757318015,4.052527515273393,9.724497468141568,59.197104310628504,91.0058133157837,20.06142371394099,20.741471975430514,0.024147072035767183
2,Random Forest,3.1048414315204833,3.8836368823543457,0.8286085336959538,2.713299567099547,6.200637161377265,81.22189316661182,98.83733684325985,9.367116376000878,9.410990457387298,-0.03986610337307267
2,XGBoost,3.1733529993718137,3.962467948748286,0.8215800204355572,2.7419090270996094,6.381544494628906,79.521772512888,98.82636832291324,8.752879236590983,11.725348250521005,-0.38398796944316443
3,Linear Regression,4.766001074428354,6.005647490471981,0.5862497461772995,4.007716741487016,9.840711409395533,59.449380278600415,90.5890095426127,19.732368103542832,20.81825161785675,-0.01087198021353119
3,Random Forest,3.103567082405697,3.907951154915233,0.8248069583694245,2.631878421578431,6.211193494469896,81.3864209718109,98.62893495667434,8.884501480750247,9.729077547438852,-0.15428914131661978
3,XGBoost,3.152907198087628,3.9619184871579245,0.8199348483374468,2.6652488708496094,6.4314834594726555,80.26763189645717,98.67280903806076,9.542612701546561,10.18975540199627,-0.12657072503040845
4,Linear Regression,4.730140515633886,5.970192435332372,0.5959461437178013,3.9619075468935243,9.789193108309842,60.17990346643265,90.79640193067135,19.427380430013162,20.39271610355419,0.009357825517233636
4,Random Forest,3.145260505887202,3.96675513643149,0.8216252481736692,2.6892398752654003,6.382362272434706,80.70425625274244,98.47520842474769,10.25669153137341,9.03905221588416,0.05201769048243307
4,XGBoost,3.1645794764795343,4.008378173912248,0.817862247311808,2.6755218505859375,6.460170745849609,80.3861342694164,98.29969284774023,11.485300570425625,8.128565160157963,0.21515355443891698
