fold,xgb_full,xgb_no_history,xgb_no_history_no_city,xgb_no_history_no_dxt,rf_full,rf_no_history
0,3.3177033145398678,3.148499408808536,3.1458341790563615,3.134372007301584,3.1387745079079212,3.129557165644084
1,3.188123678107187,3.1257690922581367,3.1220925901102707,3.1231009922778643,3.1271907597731983,3.107331435382971
2,3.1733529993718137,3.082589783950426,3.0773086436971364,3.0748827838970927,3.1048414315204833,3.0871430330678655
3,3.152907198087628,3.083839956521857,3.0844186990161964,3.0675366420396473,3.103567082405697,3.107486787389211
4,3.1645794764795343,3.104537983325659,3.106928304707392,3.1007355497091575,3.1452605058872023,3.1314106117498777
