fold,test_from,test_to,n_train,n_test,Model,MAE,RMSE,R2,MedianAE,P90_AE,within_5min_pct,within_10min_pct,late_gt5_pct,early_gt5_pct,mean_bias
0,2022-03-21,2022-03-25,28620,4249,Random Forest,3.104344323638341,3.9257054566458103,0.8276419311401989,2.603753784862622,6.322169516668744,81.33678512591199,98.58790303600847,9.508119557542951,9.15509531654507,-0.0713754363454068
0,2022-03-21,2022-03-25,28620,4249,XGBoost,3.1689327905026006,4.025639437901225,0.8187550376029643,2.6845035552978516,6.371655273437508,79.94822311132032,98.2819486938103,11.602730054130383,8.449046834549307,0.19557369577376862
1,2022-03-26,2022-03-29,32869,4246,Random Forest,3.1410036585960843,3.9508225802022903,0.8263344451970076,2.699079399149211,6.307218768238471,80.99387658973151,98.65756005652379,9.703250117757891,9.302873292510599,-0.07815261828456531
1,2022-03-26,2022-03-29,32869,4246,XGBoost,3.1573099896866252,3.9755632964300016,0.8241525890540359,2.683112144470215,6.417109489440918,79.6514366462553,98.82242110221385,10.739519547809703,9.609043805934997,-0.09832152183809428
2,2022-03-30,2022-04-02,37115,4233,Random Forest,3.1768999516125884,3.9437624470242523,0.8214443245551625,2.776194377548155,6.37482187269115,81.00637845499645,98.84242853768012,8.480982754547602,10.512638790455942,-0.2534234246465324
2,2022-03-30,2022-04-02,37115,4233,XGBoost,3.2699705126604908,4.064717057074135,0.8103238157459999,2.8731422424316406,6.535375976562501,79.14008977084809,98.747932908103,7.725017717930546,13.134892511221356,-0.7063716239127149
3,2022-04-03,2022-04-06,41348,4236,Random Forest,3.1513890113642127,3.9229796830127968,0.8216024906400498,2.730300982015814,6.321874363162703,81.37393767705382,98.67799811142586,9.254013220018887,9.372049102927289,-0.06350959633033197
3,2022-04-03,2022-04-06,41348,4236,XGBoost,3.165133883752724,3.9652633620919686,0.8177360644835974,2.7090702056884766,6.3389434814453125,80.97261567516524,98.48914069877243,11.874409820585457,7.152974504249292,0.418872396038657
