,p50_ms,p95_ms,per_order_p50_ms
single_with_shap,65.49716999984412,71.03051224992214,65.49716999984412
single_no_shap,38.39525050011616,43.431926300081614,38.39525050011616
batch100_with_shap,1146.204953500046,1182.4343783999666,11.46204953500046
