fold,test_from,base,base + rider history,base + restaurant history,base + all SQL features
0,2022-03-21,3.045881856382805,3.0700174573169763,3.0771581916198585,3.075780122693664
1,2022-03-26,3.0947199251873,3.119102022752299,3.093347597054811,3.1020588279612715
2,2022-03-30,3.1044660929160113,3.1244561210918897,3.119685904342684,3.1232629456532472
3,2022-04-03,3.090459395625661,3.0929148635062775,3.093503845537238,3.1018456712548073
