A,B,MAE_A,MAE_B,diff_A_minus_B,ci95_low,ci95_high,p_bootstrap,p_wilcoxon,A_better_share_pct,n_orders,day_ci_low,day_ci_high
base + rider history,base,3.1631635365636575,3.1276125952320637,0.03555094133159404,0.018489218929322274,0.05234690799113425,0.0005,0.0001678200732526754,48.75079398687275,9446,0.019098116503553975,0.050088512549568795
base + restaurant history,base,3.1314233631091226,3.1276125952320637,0.0038107678770589897,-0.007514454100360664,0.015200652632954585,0.5,0.7860371980710624,50.53991107347026,9446,-0.007029047071016162,0.013472875839426753
base + all SQL features,base,3.160520043131812,3.1276125952320637,0.03290744789974835,0.01705514395259685,0.04890038082717258,0.0005,0.0001650492937135847,48.71903451196273,9446,0.02405186576204448,0.042291795672566725
