rider_age,n,mean,ci95_low,ci95_high,median,sd
20.0,1700,22.871764705882352,22.46192434848911,23.281605063275595,21.0,8.615521967891016
21.0,1686,22.888493475682086,22.474328362357216,23.302658589006956,21.0,8.670459989147032
22.0,1735,22.887608069164266,22.492927803522623,23.28228833480591,22.0,8.381925808638881
23.0,1653,23.17664851784634,22.773822006530498,23.57947502916218,22.0,8.350030760436479
24.0,1764,22.994897959183675,22.584745732722684,23.405050185644665,22.0,8.783103786702183
25.0,1729,22.572585309427414,22.16756527876681,22.97760534008802,21.0,8.586607403597238
26.0,1704,22.856220657276996,22.451151610022684,23.261289704531308,22.0,8.525247435757413
27.0,1717,22.998252766453117,22.584163142268956,23.412342390637278,22.0,8.748326338712605
28.0,1718,22.99941792782305,22.597479096591368,23.401356759054732,22.0,8.494096734488275
29.0,1750,22.898285714285713,22.490908006380522,23.305663422190904,21.0,8.68895498552644
30.0,1775,29.23605633802817,28.82698371970382,29.645128956352522,28.0,8.787292646768877
31.0,1686,29.58600237247924,29.153201539439372,30.018803205519106,29.0,9.060594882114447
32.0,1723,29.82066163668021,29.407797760399646,30.233525512960775,29.0,8.737678713185295
33.0,1734,29.363321799307958,28.939814530157385,29.78682906845853,28.0,8.991536293009286
34.0,1704,29.570422535211268,29.144659291579757,29.99618577884278,29.0,8.960785884808598
35.0,1792,29.534598214285715,29.125304803031245,29.943891625540186,29.0,8.834095125670732
36.0,1780,29.378651685393258,28.959582270394208,29.79772110039231,28.0,9.014721230052656
37.0,1788,29.172259507829978,28.757523917602235,29.58699509805772,28.0,8.941548174437429
38.0,1774,29.538331454340472,29.130994668482373,29.94566824019857,29.0,8.747536707852095
39.0,1685,29.785756676557863,29.359494455868326,30.2120188972474,29.0,8.921059785479692
