spec,n,r2,adj_r2,aic,breusch_pagan_p,resid_skew,resid_mae
linear_age_rating,33802,0.5309356538391097,0.5308246096947814,221421.85901820502,0.0,0.2152949413761457,5.092484735367319
step_age_rating,33802,0.5710167357684075,0.5709151802357868,218402.59506312056,0.0,0.3095164163384067,4.852541948766891
