Model,MAE,RMSE,R2
Linear Regression,4.802386641230295,6.034174841906277,0.5872234718870253
Random Forest,3.174264089533353,4.0075730316789375,0.8179284434511818
XGBoost,3.1879348754882812,4.00160757186155,0.8184701204299927
