distance_bucket,MAE,median_AE,bias,n
0-3 km,2.8231443299187555,2.3476743698120117,0.09312558024184509,954
3-6 km,2.928372859954834,2.435645580291748,0.1453703142739282,1624
6-10 km,3.070199099999739,2.477752685546875,0.05018101106708509,2383
>10 km,3.4350843691160406,3.066741943359375,0.2696203331860128,4156
