Model,MAE,RMSE,R2,MedianAE,P90_AE,within_5min_pct,within_10min_pct,late_gt5_pct,early_gt5_pct,mean_bias,train_MAE,fit_seconds
Linear Regression,4.766913975732809,5.979703240143791,0.5946422533930544,4.06024413089607,9.675215350537622,59.26291543270813,91.17034112098278,19.458155094877704,21.27892947241417,-0.12318891053753138,4.752184787746421,0.4
Random Forest,3.137415242278539,3.947456678411895,0.8233498708718963,2.669639794019643,6.288060958281814,81.04639684106614,98.45343863112866,9.389053416694088,9.564549742239773,-0.09915535658131597,1.926447284097825,31.4
XGBoost,3.1854176054244583,4.022008960191227,0.8166143783724562,2.7048168182373047,6.423421096801758,79.94954480640561,98.42053307008885,11.626631567401557,8.423823626192826,0.1716624600225417,2.4010439005368016,1.9
