vehicle,MAE,median_AE,bias,n
bicycle,4.490358114242554,3.8215246200561523,1.3544752597808838,16
electric_scooter,2.9784018638286183,2.5219717025756836,-0.04720997303090197,752
motorcycle,3.302961150257739,2.8129043579101562,0.12910152466977895,5299
scooter,3.0253958170531225,2.5677146911621094,0.29336654569281906,3050
